Organization Name,NY Reg #,EIN,Registrant Type,City,State
,,,,,
"""Forever Captain Poodaman"" The Ahmad Butler Foundation",48-07-16,843800926,NFP,PHILADELPHIA,PA
"""R"" S.U.C.C.E.S.S. Foundation Inc.",49-06-59,874012670,NFP,ROCHESTER,NY
"""Studio 5404"" Inc.",44-39-58,463180470,NFP,MASSAPAQUA,NY
"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128,NFP,HUDSON,NY
"""Y"" Dive, Inc.",48-45-01,854252095,NFP,SAINT ALBANS,NY
"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182,NFP,BROOKLYN,NY
#FeedHamburg,48-37-35,854150318,NFP,HAMBURG,NY
#HicksStrong Inc.,48-10-48,842612081,NFP,CLIFTON PARK,NY
#WalkAway Foundation,47-15-80,832820906,NFP,CARLSBAD,CA
04/11 10:17 PM test,47-13-95,206256427,NFP,ALBANY,NY
1/20/21 Action Fund,46-99-13,832210730,NFP,SAN FRANCISCO,CA
"10/40 Connections, Inc.",45-70-15,621825230,NFP,HIXSON,TN
"1000 Feet Project, Inc",45-00-14,473820859,NFP,NEW YORK,NY
1000 Islands Hose Haulers,45-38-38,454570241,NFP,CARTHAGE,NY
"1004 Foundation, Inc.",45-00-13,463110658,NFP,LONG ISLAND CITY,NY
"100 BLACK MEN OF LONG ISLAND DEVELOPMENT GROUP, INC.",20-08-47,113617702,NFP,HEMPSTEAD,NY
100 BLACKS WHO CARE INC,06-42-84,311628801,NFP,BROOKLYN,NY
100 BLACK WOMEN OF LONG ISLAND FOUNDATION INC,05-79-45,113101805,NFP,GARDEN CITY,NY
"100Cameras, Inc.",43-16-19,264692506,NFP,NEW YORK,NY
100 CLUB OF BUFFALO INC,03-01-89,160957291,NFP,BUFFALO,NY
"100 E. 182ND Street Housing Development Fund Company, Inc.",43-46-29,133881096,NFP,BRONX,NY
100 GROTON PARKWAY INC,15-51-96,222661001,NFP,ROCHESTER,NY
"100 Mile Man Foundation, Inc.",20-23-17,200565515,NFP,ATLANTA,GA
100 WHO CARE INC,06-65-86,134068307,NFP,LONG ISLAND CITY,NY
"100 Women in Finance Association, Inc.",20-90-57,571174550,NFP,NEW YORK,NY
1026 Foundation Corporation (The),46-42-92,823378707,NFP,SPRINGFIELD GARDENS,NY
1035 BROADWAY HOUSING DEVELOPMENT FUND COMPANY INC,05-75-26,133870736,NFP,MT. KISCO,NY
1039 Boston Road Housing Development Fund Corporation,44-52-75,470904138,NFP,NEW YORK,NY
"103rd Precinct Community Council, Inc.",41-40-17,205484666,NFP,JAMAICA,NY
"105TH FLOOR HEROES FUND, INC.",21-26-78,020560593,NFP,COLD SPRING HARBOR,NY
"106 RQW FRG PO, Inc.",45-62-68,811070262,NFP,WESTHAMPTON,NY
10 Arts Foundation Inc,48-38-54,853117085,NFP,NEW YORK,NY
1-0 Foundation Ltd.,48-95-06,874831038,NFP,KERHONKSON,NY
10 Freedom Place Housing Development Fund Corporation,46-36-74,475005707,NFP,NEW YORK,NY
"10 in 10 Project, Inc.",40-12-38,205326666,NFP,FT. MONTGOMERY,NY
10 ORCHARD STREET HOUSING DEVELOPMENT FUND CO INC,05-37-28,132683270,NFP,ELMSFORD,NY
"10 Thousand Windows, Inc.",46-50-29,272505761,NFP,KNOXVILLE,TN
1 Freedom For ALL Inc.,48-80-35,823270255,NFP,BRONX,NY
"1 SG Michael S. Curry Memorial Foundation, Inc.",41-44-93,261211059,NFP,NEW YORK,NY
Academy of General Dentistry Foundation,43-07-85,237310583,NFP,ALBANY,NY
"American Agora Foundation, Inc.",40-62-78,204000236,NFP,NEW YORK,NY
AMERICAN CLASSICAL ORCHESTRA INC,15-89-17,061072470,NFP,NEW YORK,NY
"AOPA Foundation, Inc.",40-51-26,208817225,NFP,FREDERICK,MD
ARNOLD GOLD FOUNDATION,21-38-43,223052098,NFP,ENGLEWOOD CLIFFS,NJ
BLESSING WAY FOUNDATION,20-76-19,043138834,NFP,NEW YORK,NY
BOYS & GIRLS CLUB OF THE NORTHTOWNS FOUNDATION INC,01-23-16,160844107,NFP,BUFFALO,NY
BRAND FOUNDATION OF NEW YORK INC,00-12-93,136159106,NFP,NEW YORK,NY
BROOKLYN CHIEFS INC.,21-07-22,861057788,NFP,BROOKLYN,NY
BROOKLYN GYNECOLOGICAL SOCIETY INC,05-02-76,011202369,NFP,BROOKLYN,NY
Charleens Stroke Care Fund,44-46-89,383802497,NFP,LACKAWANNA,NY
"Crenulated Company, Ltd.",04-38-38,141719016,NFP,NEW YORK,NY
"DAHNTAY JONES FOUNDATION, INC.",21-36-31,203554521,NFP,FLORENCE,NJ
DE CHARITABLE FOUNDATION,40-26-45,208094990,NFP,BROOKLYN,NY
EFREIN FOUNDATION INC,01-24-27,116017909,NFP,FAIRFAX,VA
Elija School,40-33-27,205296438,NFP,LEVITTOWN,NY
EVERGREEN FOUNDATION,05-43-23,161472048,NFP,BUFFALO,NY
"Family and Life Center of Mt. Ararat, Inc.",43-12-15,582441703,NFP,BROOKLYN,NY
Family Annex,06-10-35,133083081,NFP,NEW YORK,NY
"Fesabeelillah Services of NYC, Inc.",43-20-89,453736091,NFP,BROOKLYN,NY
"For The Win, Inc.",45-46-69,473875560,NFP,GREENVILLE,SC
Freedom Fund,44-63-63,300805758,NFP,BROOKLYN,NY
GERRY HOMES,21-21-45,160755780,NFP,GERRY,NY
"Gideon and Claudia Oberweger Family Foundation, Inc.",40-39-03,205916926,NFP,NEW YORK,NY
"GLEN CONSERVANCY, LTD",21-21-60,710883483,NFP,FULTONVILLE,NY
"Harris, George D. Jr. Trust under Article 8 of Will",49-18-62,266660787,CRT,NO DATA AVAILABLE,
Heritage Foundation,40-38-82,208465001,NFP,BROOKLYN,NY
"HETL Association, Inc.",43-82-58,453307445,NFP,JAMAICA,NY
High Atlas Foundation,40-50-84,850478294,NFP,NEW YORK,NY
"HOMEVILLE MUSEUM, INC.",40-25-93,204130195,NFP,HOMER,NY
I Am A Leader Foundation,44-55-63,454625508,NFP,PROVO,UT
"I Love Math, Inc.",41-29-81,262609655,NFP,BRONX,NY
"INTERNATIONAL ORGANIZATION FOR ADOLESCENTS, INC.",20-98-81,134093883,NFP,CHICAGO,IL
ISAIAH J. JONES MEMORIAL FOUNDATION,20-36-56,760736140,NFP,BRONX,NY
"Jean Bertrand Foundation For The Disadvantaged, Inc.",42-80-65,800735536,NFP,BROOKLYN,NY
JOSEPH LANDAU FREE AID FUND INC,03-55-60,112708982,NFP,WOODMERE,NY
KEKST FAMILY FOUNDATION,03-98-66,133382250,NFP,NEW YORK,NY
KEUKA HOUSING COUNCIL INC,02-32-90,161092291,NFP,PENN YAN,NY
Koinonia Ventures Inc,46-53-18,821443905,NFP,WOODBURY,NY
"LUPUS FOUNDATION OF GENESEE VALLEY NY, INC.",03-68-42,222612041,NFP,ROCHESTER,NY
"Markowitz Family Foundation, Inc.",40-37-51,205613149,NFP,BROOKLYN,NY
Matan Baseser Foundation,40-37-98,205125738,NFP,BROOKLYN,NY
"MONROE FOUNDATION, INC.",20-85-77,223236708,NFP,NEW ROCHELLE,NY
Nazee & Joseph Moinian Foundation,44-61-47,471035983,NFP,NEW YORK,NY
"Odyssey Sport Soccer Club, Inc.",41-30-39,300474221,NFP,SHERRILL,NY
PITTSBURGH FOUNDATION,21-31-05,250965466,NFP,PITTSBURGH,PA
"POETIC Foundation, Inc.",43-15-65,800688254,NFP,STATEN ISLAND,NY
Riley Family Foundation (20-5973514),43-23-88,205973514,NFP,NORTHPORT,NY
"Sacred Music Chorale of Richmond Hill, Inc.",21-27-88,113457320,NFP,RICHMOND HILL,NY
S G of Rockland County Inc.,45-47-77,472138530,NFP,SPRING VALLEY,NY
"Singer, Theodore CRUT u/a dtd. July 16, 1998",47-70-09,116502880,CRT,NO DATA AVAILABLE,
STONE TRUST CORPORATION,40-25-60,060552923,NFP,STAMFORD,CT
"Thanc Foundation, Inc.",20-66-71,800062118,NFP,NEW YORK,NY
THE FRED STEIN FAMILY FOUNDATION,04-01-59,133389107,NFP,HAVERFORD,PA
The Humanitarian Resource Foundation International Inc. D/B/A Thrfi,43-53-81,460533581,NFP,GLEN COVE,NY
The New School of Syracuse,42-67-44,160986798,NFP,DEWITT,NY
University of Virginia Health Foundtion,40-44-88,412097394,NFP,CHARLOTTESVILLE,VA
Violin Player,41-40-19,270773158,NFP,EAST AMHERST,NY
"William A. Epps Community Center, Inc.",40-91-11,861074714,NFP,STATEN ISLAND,NY
"WORLD SOCIETY OF CZESTOCHOWA JEWS AND THEIR DESCENDENTS, INC.",40-46-49,205101779,NFP,NEW YORK,NY
"Yum-O Organization, Inc.",40-50-07,208107545,NFP,NEW YORK,NY
